" 19 October 2021, at 17:07",,Warm Showers,https://en.wikipedia.org/wiki/Randy_Fay
" 17 October 2021, at 20:42",,F Sharp Software Foundation,https://en.wikipedia.org/wiki/F_Sharp_Software_Foundation
" 29 November 2021, at 11:37",,TerminusDB,https://en.wikipedia.org/wiki/TerminusDB
" 27 November 2021, at 01:47",,BusyBox,https://en.wikipedia.org/wiki/BusyBox
" 29 October 2021, at 11:01",,musl,https://en.wikipedia.org/wiki/Musl
" 31 August 2021, at 04:56",,Redox (operating system),https://en.wikipedia.org/wiki/Redox_(operating_system)
" 2 December 2021, at 07:39",,Mastodon (software),https://en.wikipedia.org/wiki/Mastodon_(software)
" 19 November 2021, at 00:47",,Perl,https://en.wikipedia.org/wiki/Perl
" 14 April 2021, at 11:25",,Liquibase,https://en.wikipedia.org/wiki/Liquibase
" 27 September 2021, at 17:20",,Larry Wall,https://en.wikipedia.org/wiki/Larry_Wall
" 11 July 2021, at 10:38",,DNN (software),https://en.wikipedia.org/wiki/DotNetNuke
" এ পৃষ্ঠায় শেষ পরিবর্তন হয়েছিল ১২:০৫টার সময়, ২৯ মে ২০২১ তারিখে।",,বেনাভোলেন্ট ডিক্টেটর ফর লাইফ,https://bn.wikipedia.org/wiki/%E0%A6%AC%E0%A7%87%E0%A6%A8%E0%A6%BE%E0%A6%AD%E0%A7%8B%E0%A6%B2%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F_%E0%A6%A1%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%9F%E0%A7%87%E0%A6%9F%E0%A6%B0_%E0%A6%AB%E0%A6%B0_%E0%A6%B2%E0%A6%BE%E0%A6%87%E0%A6%AB
 آخر تعديل لهذه الصفحة كان يوم 15 أغسطس 2021، الساعة 19:35.,,ديكتاتور خيري مدى الحياة,https://ar.wikipedia.org/wiki/%D8%AF%D9%8A%D9%83%D8%AA%D8%A7%D8%AA%D9%88%D8%B1_%D8%AE%D9%8A%D8%B1%D9%8A_%D9%85%D8%AF%D9%89_%D8%A7%D9%84%D8%AD%D9%8A%D8%A7%D8%A9
" 29 November 2021, at 04:08",,Linux kernel,https://en.wikipedia.org/wiki/Linux_kernel
" 21 October 2021, at 20:48",,Patrick Volkerding,https://en.wikipedia.org/wiki/Patrick_Volkerding
" 17 November 2021, at 22:04",,Elixir (programming language),https://en.wikipedia.org/wiki/Elixir_(programming_language)
" 25 October 2021, at 09:52",,SciPy,https://en.wikipedia.org/wiki/SciPy
" 19 October 2021, at 03:59",,GNU,https://en.wikipedia.org/wiki/GNU
" 2 December 2021, at 00:48",,Slackware,https://en.wikipedia.org/wiki/Slackware
" 27 November 2021, at 04:18",,Python (programming language),https://en.wikipedia.org/wiki/Python_(programming_language)
" 29 January 2021, at 18:33",,Don Syme,https://en.wikipedia.org/wiki/Don_Syme
" 29 November 2021, at 04:08",,Linux kernel,https://en.wikipedia.org/wiki/Linux_(kernel)
" 17 November 2021, at 01:49",,Mark Shuttleworth,https://en.wikipedia.org/wiki/Mark_Shuttleworth
" 26 November 2021, at 01:21",,Linus Torvalds,https://en.wikipedia.org/wiki/Linus_Torvalds
" 27 November 2021, at 13:53",,F Sharp (programming language),https://en.wikipedia.org/wiki/F_Sharp_(programming_language)
" 8 March 2021, at 09:35",,Orchard Project,https://en.wikipedia.org/wiki/Orchard_Project
" 2 December 2021, at 14:38",,Linux,https://en.wikipedia.org/wiki/Linux
" 26 November 2021, at 10:54",,Ubuntu,https://en.wikipedia.org/wiki/Ubuntu
" 9 July 2021, at 17:03",,Xavier Leroy,https://en.wikipedia.org/wiki/Xavier_Leroy
" 13 October 2021, at 19:57",,Keras,https://en.wikipedia.org/wiki/Keras
" 30 November 2021, at 04:15",,François Chollet,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Chollet
" 20 October 2021, at 13:14",,Ton Roosendaal,https://en.wikipedia.org/wiki/Ton_Roosendaal
" 23 November 2021, at 09:18",,Customer relationship management,https://en.wikipedia.org/wiki/Customer_Relationship_Management
" 2 December 2021, at 00:36",,Blender (software),https://en.wikipedia.org/wiki/Blender_(software)
" 28 August 2021, at 15:28",,Dolibarr,https://en.wikipedia.org/wiki/Dolibarr
" 30 November 2021, at 08:57",,Enterprise resource planning,https://en.wikipedia.org/wiki/Enterprise_Resource_Planning
" 25 November 2021, at 10:03",,Django (web framework),https://en.wikipedia.org/wiki/Django_(web_framework)
" 7 November 2021, at 15:16",,Clojure,https://en.wikipedia.org/wiki/Clojure
" 13 November 2021, at 08:20",,Adrian Holovaty,https://en.wikipedia.org/wiki/Adrian_Holovaty
" 9 November 2021, at 05:50",,Ruby on Rails,https://en.wikipedia.org/wiki/Ruby_on_Rails
" 27 August 2021, at 06:23",,Rich Hickey,https://en.wikipedia.org/wiki/Rich_Hickey
" 16 November 2021, at 07:01",,David Heinemeier Hansson,https://en.wikipedia.org/wiki/David_Heinemeier_Hansson
" 2 December 2021, at 10:28",,Elm (programming language),https://en.wikipedia.org/wiki/Elm_(programming_language)
" 18 November 2021, at 21:01",,Haoyuan Li,https://en.wikipedia.org/wiki/Haoyuan_Li
" 25 May 2021, at 19:39",,Dries Buytaert,https://en.wikipedia.org/wiki/Dries_Buytaert
" 26 November 2021, at 14:26",,Drupal,https://en.wikipedia.org/wiki/Drupal
" 24 November 2021, at 20:43",,Vue.js,https://en.wikipedia.org/wiki/Evan_You
" 22 November 2021, at 18:53",,Alluxio,https://en.wikipedia.org/wiki/Alluxio
" 24 November 2021, at 20:43",,Vue.js,https://en.wikipedia.org/wiki/Vue.js
" 28 November 2021, at 04:34",,Ethereum,https://en.wikipedia.org/wiki/Ethereum
" 15 November 2021, at 15:33",,Vitalik Buterin,https://en.wikipedia.org/wiki/Vitalik_Buterin
" 15 November 2021, at 09:18",,Emacs,https://en.wikipedia.org/wiki/Emacs
" 15 July 2021, at 06:18",,Spacemacs,https://en.wikipedia.org/wiki/Spacemacs
" 24 August 2021, at 00:41",,Fork (software development),https://en.wikipedia.org/wiki/Fork_(software_development)
" 13 November 2021, at 16:23",,Hacker culture,https://en.wikipedia.org/wiki/Hacker_culture
" 23 November 2021, at 05:08",,Homesteading the Noosphere,https://en.wikipedia.org/wiki/Homesteading_the_Noosphere
" 31 August 2021, at 09:41",,Eric S. Raymond,https://en.wikipedia.org/wiki/Eric_S._Raymond
" 27 February 2021, at 11:32",,Ken Manheimer,https://en.wikipedia.org/wiki/Ken_Manheimer
" 23 April 2021, at 15:59",,Corporation for National Research Initiatives,https://en.wikipedia.org/wiki/Corporation_for_National_Research_Initiatives
" 17 November 2021, at 14:58",,Guido van Rossum,https://en.wikipedia.org/wiki/Guido_van_Rossum
" 19 November 2021, at 01:09",,Benevolent dictatorship,https://en.wikipedia.org/wiki/Benevolent_dictatorship
" 20 October 2021, at 09:07",,Open-source software development,https://en.wikipedia.org/wiki/Open-source_software_development
" 27 November 2021, at 04:18",,Python (programming language),https://en.wikipedia.org/wiki/Python_programming_language
lastUpdated,text,title,url
" 29 November 2021, at 15:06",,Benevolent dictator for life,https://en.wikipedia.org/wiki/Benevolent_dictator_for_life
" 2 December 2021, at 14:43",,WordPress,https://en.wikipedia.org/wiki/WordPress
" 20 October 2021, at 13:14",,Ton Roosendaal,https://en.wikipedia.org/wiki/Ton_Roosendaal
" 30 November 2021, at 16:43",,Matt Mullenweg,https://en.wikipedia.org/wiki/Matt_Mullenweg
" 20 January 2021, at 12:41",,Theo de Raadt,https://en.wikipedia.org/wiki/Theo_de_Raadt
" 9 February 2021, at 22:28",,Martin Odersky,https://en.wikipedia.org/wiki/Martin_Odersky
" 30 November 2021, at 13:42",,Laravel,https://en.wikipedia.org/wiki/Laravel
" 24 November 2021, at 18:36",,OpenBSD,https://en.wikipedia.org/wiki/OpenBSD
" 21 November 2021, at 05:59",,Unix,https://en.wikipedia.org/wiki/Unix
 本页面最后修订于2021年8月3日 (星期二) 06:56。,,终身仁慈独裁者,https://zh.wikipedia.org/wiki/%E7%BB%88%E8%BA%AB%E4%BB%81%E6%85%88%E7%8B%AC%E8%A3%81%E8%80%85
" 7 November 2021, at 03:42",,Bram Moolenaar,https://en.wikipedia.org/wiki/Bram_Moolenaar
" 21 November 2021, at 03:19",,Scala (programming language),https://en.wikipedia.org/wiki/Scala_(programming_language)
" 2 December 2021, at 15:02",,pandas (software),https://en.wikipedia.org/wiki/Pandas_(software)
" 30 September 2021, at 22:30",,Wes McKinney,https://en.wikipedia.org/wiki/Wes_McKinney
" 20 October 2021, at 06:34",,Yukihiro Matsumoto,https://en.wikipedia.org/wiki/Yukihiro_Matsumoto
" 22 November 2021, at 17:07",,Ruby (programming language),https://en.wikipedia.org/wiki/Ruby_(programming_language)
" 25 November 2021, at 11:23",,Vim (text editor),https://en.wikipedia.org/wiki/Vim_(text_editor)
 Esta página foi editada pela última vez às 13h22min de 24 de julho de 2020.,,,https://pt.wikipedia.org/wiki/Benevolent_Dictator_for_Life
 Эта страница в последний раз была отредактирована 26 мая 2021 в 16:46.,,Великодушный пожизненный диктатор,https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B4%D1%83%D1%88%D0%BD%D1%8B%D0%B9_%D0%BF%D0%BE%D0%B6%D0%B8%D0%B7%D0%BD%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D0%B4%D0%B8%D0%BA%D1%82%D0%B0%D1%82%D0%BE%D1%80
" Tę stronę ostatnio edytowano 5 maj 2021, 13:18.",,Benevolent Dictator for Life,https://pl.wikipedia.org/wiki/Benevolent_Dictator_for_Life
 Denne siden ble sist redigert 15. feb. 2017 kl. 04:11.,,Benevolent Dictator For Life,https://no.wikipedia.org/wiki/Benevolent_Dictator_For_Life
 最終更新 2021年1月19日 (火) 12:09 （日時は,,優しい終身の独裁者,https://ja.wikipedia.org/wiki/%E5%84%AA%E3%81%97%E3%81%84%E7%B5%82%E8%BA%AB%E3%81%AE%E7%8B%AC%E8%A3%81%E8%80%85
 Deze pagina is voor het laatst bewerkt op 26 jan 2021 om 14:19.,,Benevolent Dictator for Life,https://nl.wikipedia.org/wiki/Benevolent_Dictator_for_Life
" ഈ താൾ അവസാനം തിരുത്തപ്പെട്ടത്: 19:33, 21 ഡിസംബർ 2019.",,ബെനവലൻറ് ഡിക്റ്റേറ്റർ ഫോർ ലൈഫ് (ബി.ഡി.എഫ്.എൽ),https://ml.wikipedia.org/wiki/%E0%B4%AC%E0%B5%86%E0%B4%A8%E0%B4%B5%E0%B4%B2%E0%B5%BB%E0%B4%B1%E0%B5%8D_%E0%B4%A1%E0%B4%BF%E0%B4%95%E0%B5%8D%E0%B4%B1%E0%B5%8D%E0%B4%B1%E0%B5%87%E0%B4%B1%E0%B5%8D%E0%B4%B1%E0%B5%BC_%E0%B4%AB%E0%B5%8B%E0%B5%BC_%E0%B4%B2%E0%B5%88%E0%B4%AB%E0%B5%8D_(%E0%B4%AC%E0%B4%BF.%E0%B4%A1%E0%B4%BF.%E0%B4%8E%E0%B4%AB%E0%B5%8D.%E0%B4%8E%E0%B5%BD)
 Questa pagina è stata modificata per l'ultima volta il 27 giu 2020 alle 04:00.,,Benevolo Dittatore a Vita,https://it.wikipedia.org/wiki/Benevolo_Dittatore_a_Vita
 이 문서는 2018년 7월 14일 (토) 07:38에 마지막으로 편집되었습니다.,,자비로운 종신독재자,https://ko.wikipedia.org/wiki/%EC%9E%90%EB%B9%84%EB%A1%9C%EC%9A%B4_%EC%A2%85%EC%8B%A0%EB%8F%85%EC%9E%AC%EC%9E%90
" Halaman ini terakhir diubah pada 3 Februari 2021, pukul 20.33.",,,https://id.wikipedia.org/wiki/Benevolent_dictator_for_life
" 28 November 2020, at 07:52",,Linux.com,https://en.wikipedia.org/wiki/Linux.com
 La dernière modification de cette page a été faite le 6 janvier 2021 à 16:33.,,,https://fr.wikipedia.org/wiki/Benevolent_Dictator_for_Life
" 3 February 2021, at 11:11",,Main Page,https://en.wikipedia.org/wiki/Main_Page
" 30 November 2021, at 01:07",,,https://en.wikipedia.org/wiki/CNET
 این صفحه آخرین‌بار در ‏۲۵ ژانویهٔ ۲۰۲۱ ساعت ‏۰۶:۳۵ ویرایش شده‌است.,,دیکتاتور خیرخواه جاویدان,https://fa.wikipedia.org/wiki/%D8%AF%DB%8C%DA%A9%D8%AA%D8%A7%D8%AA%D9%88%D8%B1_%D8%AE%DB%8C%D8%B1%D8%AE%D9%88%D8%A7%D9%87_%D8%AC%D8%A7%D9%88%DB%8C%D8%AF%D8%A7%D9%86
" Ĉi tiu paĝo estis lastafoje redaktita je 05:58, 28 aŭg. 2021.",,Dumviva bonvola diktatoro,https://eo.wikipedia.org/wiki/Dumviva_bonvola_diktatoro
" 21 November 2021, at 03:20",,International Standard Book Number,https://en.wikipedia.org/wiki/ISBN_(identifier)
" 19 October 2021, at 17:07",,Warm Showers,https://en.wikipedia.org/wiki/Randy_Fay
 Diese Seite wurde zuletzt am 2. Juli 2021 um 10:01 Uhr bearbeitet.,,Benevolent Dictator for Life,https://de.wikipedia.org/wiki/Benevolent_Dictator_for_Life
" 17 October 2021, at 20:42",,F Sharp Software Foundation,https://en.wikipedia.org/wiki/F_Sharp_Software_Foundation
" 6 September 2021, at 06:52",,Exercism,https://en.wikipedia.org/wiki/Exercism
" 29 November 2021, at 11:37",,TerminusDB,https://en.wikipedia.org/wiki/TerminusDB
" 1 December 2021, at 06:39",,Linux Foundation,https://en.wikipedia.org/wiki/Linux_Foundation
 Esta página se editó por última vez el 9 jul 2020 a las 04:55.,,Benevolent Dictator for Life,https://es.wikipedia.org/wiki/Benevolent_Dictator_for_Life
" 27 November 2021, at 01:47",,BusyBox,https://en.wikipedia.org/wiki/BusyBox
" 1 November 2021, at 19:24",,Canonical (company),https://en.wikipedia.org/wiki/Canonical_Ltd
" 6 November 2021, at 13:29",,Blender Foundation,https://en.wikipedia.org/wiki/Blender_Foundation
" এ পৃষ্ঠায় শেষ পরিবর্তন হয়েছিল ১২:০৫টার সময়, ২৯ মে ২০২১ তারিখে।",,বেনাভোলেন্ট ডিক্টেটর ফর লাইফ,https://bn.wikipedia.org/wiki/%E0%A6%AC%E0%A7%87%E0%A6%A8%E0%A6%BE%E0%A6%AD%E0%A7%8B%E0%A6%B2%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F_%E0%A6%A1%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%9F%E0%A7%87%E0%A6%9F%E0%A6%B0_%E0%A6%AB%E0%A6%B0_%E0%A6%B2%E0%A6%BE%E0%A6%87%E0%A6%AB
" 29 May 2021, at 17:49",,,https://en.wikipedia.org/wiki/EWeek
" 29 October 2021, at 11:01",,musl,https://en.wikipedia.org/wiki/Musl
" 11 July 2021, at 10:38",,DNN (software),https://en.wikipedia.org/wiki/DotNetNuke
" 27 September 2021, at 17:20",,Larry Wall,https://en.wikipedia.org/wiki/Larry_Wall
" 31 August 2021, at 04:56",,Redox (operating system),https://en.wikipedia.org/wiki/Redox_(operating_system)
" 2 December 2021, at 07:39",,Mastodon (software),https://en.wikipedia.org/wiki/Mastodon_(software)
" 14 April 2021, at 11:25",,Liquibase,https://en.wikipedia.org/wiki/Liquibase
" 19 November 2021, at 00:47",,Perl,https://en.wikipedia.org/wiki/Perl
" 19 October 2021, at 03:59",,GNU,https://en.wikipedia.org/wiki/GNU
 آخر تعديل لهذه الصفحة كان يوم 15 أغسطس 2021، الساعة 19:35.,,ديكتاتور خيري مدى الحياة,https://ar.wikipedia.org/wiki/%D8%AF%D9%8A%D9%83%D8%AA%D8%A7%D8%AA%D9%88%D8%B1_%D8%AE%D9%8A%D8%B1%D9%8A_%D9%85%D8%AF%D9%89_%D8%A7%D9%84%D8%AD%D9%8A%D8%A7%D8%A9
" 2 December 2021, at 00:48",,Slackware,https://en.wikipedia.org/wiki/Slackware
" 21 October 2021, at 20:48",,Patrick Volkerding,https://en.wikipedia.org/wiki/Patrick_Volkerding
" 27 November 2021, at 04:18",,Python (programming language),https://en.wikipedia.org/wiki/Python_(programming_language)
" 25 October 2021, at 09:52",,SciPy,https://en.wikipedia.org/wiki/SciPy
" 17 November 2021, at 22:04",,Elixir (programming language),https://en.wikipedia.org/wiki/Elixir_(programming_language)
" 26 November 2021, at 01:21",,Linus Torvalds,https://en.wikipedia.org/wiki/Linus_Torvalds
" 29 January 2021, at 18:33",,Don Syme,https://en.wikipedia.org/wiki/Don_Syme
" 27 November 2021, at 13:53",,F Sharp (programming language),https://en.wikipedia.org/wiki/F_Sharp_(programming_language)
" 29 November 2021, at 04:08",,Linux kernel,https://en.wikipedia.org/wiki/Linux_(kernel)
" 17 November 2021, at 01:49",,Mark Shuttleworth,https://en.wikipedia.org/wiki/Mark_Shuttleworth
" 8 March 2021, at 09:35",,Orchard Project,https://en.wikipedia.org/wiki/Orchard_Project
" 26 November 2021, at 10:54",,Ubuntu,https://en.wikipedia.org/wiki/Ubuntu
" 2 December 2021, at 14:38",,Linux,https://en.wikipedia.org/wiki/Linux
" 2 December 2021, at 00:36",,Blender (software),https://en.wikipedia.org/wiki/Blender_(software)
" 13 October 2021, at 19:57",,Keras,https://en.wikipedia.org/wiki/Keras
" 2 December 2021, at 04:00",,OCaml,https://en.wikipedia.org/wiki/OCaml
" 9 July 2021, at 17:03",,Xavier Leroy,https://en.wikipedia.org/wiki/Xavier_Leroy
" 28 August 2021, at 15:28",,Dolibarr,https://en.wikipedia.org/wiki/Dolibarr
" 30 November 2021, at 04:15",,François Chollet,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Chollet
" 25 November 2021, at 10:03",,Django (web framework),https://en.wikipedia.org/wiki/Django_(web_framework)
" 23 November 2021, at 09:18",,Customer relationship management,https://en.wikipedia.org/wiki/Customer_Relationship_Management
" 13 November 2021, at 08:20",,Adrian Holovaty,https://en.wikipedia.org/wiki/Adrian_Holovaty
" 30 November 2021, at 08:57",,Enterprise resource planning,https://en.wikipedia.org/wiki/Enterprise_Resource_Planning
" 7 November 2021, at 15:16",,Clojure,https://en.wikipedia.org/wiki/Clojure
" 16 November 2021, at 07:01",,David Heinemeier Hansson,https://en.wikipedia.org/wiki/David_Heinemeier_Hansson
" 2 December 2021, at 10:28",,Elm (programming language),https://en.wikipedia.org/wiki/Elm_(programming_language)
" 18 November 2021, at 21:01",,Haoyuan Li,https://en.wikipedia.org/wiki/Haoyuan_Li
" 27 August 2021, at 06:23",,Rich Hickey,https://en.wikipedia.org/wiki/Rich_Hickey
" 9 November 2021, at 05:50",,Ruby on Rails,https://en.wikipedia.org/wiki/Ruby_on_Rails
" 26 November 2021, at 14:26",,Drupal,https://en.wikipedia.org/wiki/Drupal
" 22 November 2021, at 18:53",,Alluxio,https://en.wikipedia.org/wiki/Alluxio
" 24 November 2021, at 20:43",,Vue.js,https://en.wikipedia.org/wiki/Vue.js
" 25 May 2021, at 19:39",,Dries Buytaert,https://en.wikipedia.org/wiki/Dries_Buytaert
" 24 November 2021, at 20:43",,Vue.js,https://en.wikipedia.org/wiki/Evan_You
" 28 November 2021, at 04:34",,Ethereum,https://en.wikipedia.org/wiki/Ethereum
" 15 November 2021, at 15:33",,Vitalik Buterin,https://en.wikipedia.org/wiki/Vitalik_Buterin
" 15 July 2021, at 06:18",,Spacemacs,https://en.wikipedia.org/wiki/Spacemacs
" 15 November 2021, at 09:18",,Emacs,https://en.wikipedia.org/wiki/Emacs
" 24 August 2021, at 00:41",,Fork (software development),https://en.wikipedia.org/wiki/Fork_(software_development)
" 13 November 2021, at 16:23",,Hacker culture,https://en.wikipedia.org/wiki/Hacker_culture
" 27 February 2021, at 11:32",,Ken Manheimer,https://en.wikipedia.org/wiki/Ken_Manheimer
" 23 November 2021, at 05:08",,Homesteading the Noosphere,https://en.wikipedia.org/wiki/Homesteading_the_Noosphere
" 31 August 2021, at 09:41",,Eric S. Raymond,https://en.wikipedia.org/wiki/Eric_S._Raymond
" 23 April 2021, at 15:59",,Corporation for National Research Initiatives,https://en.wikipedia.org/wiki/Corporation_for_National_Research_Initiatives
" 27 November 2021, at 04:18",,Python (programming language),https://en.wikipedia.org/wiki/Python_programming_language
" 20 October 2021, at 09:07",,Open-source software development,https://en.wikipedia.org/wiki/Open-source_software_development
" 17 November 2021, at 14:58",,Guido van Rossum,https://en.wikipedia.org/wiki/Guido_van_Rossum
" 19 November 2021, at 01:09",,Benevolent dictatorship,https://en.wikipedia.org/wiki/Benevolent_dictatorship
" 29 November 2021, at 04:08",,Linux kernel,https://en.wikipedia.org/wiki/Linux_kernel
lastUpdated,text,title,url
" 29 November 2021, at 15:06",,Benevolent dictator for life,https://en.wikipedia.org/wiki/Benevolent_dictator_for_life
" 9 February 2021, at 22:28",,Martin Odersky,https://en.wikipedia.org/wiki/Martin_Odersky
" 2 December 2021, at 14:43",,WordPress,https://en.wikipedia.org/wiki/WordPress
" 20 October 2021, at 13:14",,Ton Roosendaal,https://en.wikipedia.org/wiki/Ton_Roosendaal
" 20 January 2021, at 12:41",,Theo de Raadt,https://en.wikipedia.org/wiki/Theo_de_Raadt
